Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
AUDJPY_Ticks_2007.04.01_2007.04.30.csv,AUDJPY,AUD/JPY,2007,April,0.028592796287987287,0.010379002984440014,0.005,0.18,0.06,20,744394,0.03,0.02,0.025,0.035,0.04,0.01,0.015,0.045,0.05,0.06,0.055,0.07,0.005,0.065,0.08,0.09,0.075,0.1,0.11,0.12
AUDUSD_Ticks_2007.04.01_2007.04.30.csv,AUDUSD,AUD/USD,2007,April,0.0001628156536875479,9.381104034056264e-05,-0.00114,0.00396,0.00045,20,96514,0.00016,6e-05,0.00026,0.00036,-4e-05,0.0003,0.0004,0.00046,0.0002,0.0005,0.00056,0.00029,0.00019,0.00066,0.00025,0.00039,0.00031,0.00021,-0.00014,0.00035
EURAUD_Ticks_2007.04.01_2007.04.30.csv,EURAUD,EUR/AUD,2007,April,0.00048634885262317665,0.00016109085076159902,0.0001,0.0027,0.0009,17,487329,0.0004,0.0005,0.0006,0.0003,0.0007,0.0008,0.0002,0.0009,0.0001,0.001,0.00055,0.0011,0.00075,0.00065,0.00035,0.00045,0.0012,0.0013,0.0014,0.00085
EURGBP_Ticks_2007.04.01_2007.04.30.csv,EURGBP,EUR/GBP,2007,April,0.0001267908255219692,5.9938817861503735e-05,4e-05,0.0012,0.00027,11,850577,0.0001,0.00015,5e-05,0.0002,0.00025,0.0003,0.00035,0.0004,0.00014,0.00016,0.0005,0.00045,0.00026,0.00055,0.0006,0.00024,6e-05,4e-05,0.0007,0.00065
EURJPY_Ticks_2007.04.01_2007.04.30.csv,EURJPY,EUR/JPY,2007,April,0.019200298313153705,0.007542921143896354,0.005,0.24,0.04,8,1038506,0.02,0.01,0.025,0.015,0.03,0.005,0.035,0.04,0.05,0.045,0.06,0.07,0.055,0.08,0.09,0.065,0.1,0.075,0.11,0.12
EURUSD_Ticks_2007.04.01_2007.04.30.csv,EURUSD,EUR/USD,2007,April,0.00012166206499988499,4.738448166960849e-05,4e-05,0.0009,0.0003,15,1086925,0.0001,0.00015,5e-05,0.0002,0.00025,0.0003,0.00016,0.00014,4e-05,6e-05,0.00024,0.00035,0.0004,0.00026,0.0005,0.00045,0.0006,0.0007,0.00055,9e-05
GBPAUD_Ticks_2007.04.01_2007.04.30.csv,GBPAUD,GBP/AUD,2007,April,0.000515342401265031,0.0001361065370875731,0.00035,0.00296,0.0009,20,497063,0.0005,0.00045,0.0004,0.00055,0.00056,0.00054,0.0006,0.00044,0.00046,0.0007,0.00075,0.0008,0.00076,0.00064,0.00074,0.00066,0.0009,0.00065,0.00094,0.00096
GBPJPY_Ticks_2007.04.01_2007.04.30.csv,GBPJPY,GBP/JPY,2007,April,0.04351431853423942,0.01433359500452638,0.005,0.35,0.07,20,1119528,0.04,0.05,0.03,0.045,0.055,0.035,0.06,0.02,0.025,0.065,0.07,0.01,0.015,0.08,0.09,0.075,0.005,0.1,0.11,0.085
GBPUSD_Ticks_2007.04.01_2007.04.30.csv,GBPUSD,GBP/USD,2007,April,0.000178163956658216,7.506791364329162e-05,4e-05,0.0021,0.0004,20,1089849,0.0002,0.0001,0.00015,0.00025,0.0003,5e-05,0.00035,0.0004,0.0005,0.00045,0.0006,0.00024,0.00055,0.0007,0.00026,0.00016,0.00014,0.0008,0.00065,0.0009
USDJPY_Ticks_2007.04.01_2007.04.30.csv,USDJPY,USD/JPY,2007,April,0.0132497608733421,0.005932342951833528,0.0,0.175,0.03,9,1047562,0.01,0.015,0.02,0.005,0.025,0.03,0.04,0.035,0.05,0.06,0.08,0.045,0.07,0.09,0.055,0.11,0.065,0.1,0.14,0.12
