Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
AUDJPY_Ticks_2008.04.01_2008.04.30.csv,AUDJPY,AUD/JPY,2008,April,0.03046637105584202,0.012170718092237836,0.005,0.145,0.06,20,4720621,0.03,0.02,0.025,0.035,0.04,0.05,0.015,0.045,0.01,0.06,0.055,0.07,0.08,0.065,0.005,0.09,0.075,0.085,0.1,0.095
AUDUSD_Ticks_2008.04.01_2008.04.30.csv,AUDUSD,AUD/USD,2008,April,0.0001859505414860433,5.3990421268874076e-05,-0.00019,0.00111,0.00045,20,585703,0.00022,0.00021,0.00016,0.00019,0.0002,0.00018,0.00014,0.00026,0.00017,0.00024,0.00023,0.00015,0.00025,0.00011,0.00013,0.00012,9e-05,0.0001,8e-05,6e-05
EURAUD_Ticks_2008.04.01_2008.04.30.csv,EURAUD,EUR/AUD,2008,April,0.00038122978683002726,0.00015836765371549387,5e-05,0.00255,0.0009,18,3486279,0.0004,0.0003,0.00035,0.00045,0.0002,0.0005,0.00025,0.0006,0.00015,0.0007,0.00055,0.0001,0.0008,0.0012,5e-05,0.00065,0.0009,0.001,0.0013,0.00075
EURGBP_Ticks_2008.04.01_2008.04.30.csv,EURGBP,EUR/GBP,2008,April,0.00016940798294908627,7.197720404918256e-05,4e-05,0.0011,0.00027,11,5989591,0.00015,0.0001,0.0002,0.00025,0.0003,5e-05,0.00035,0.0004,0.0005,0.00045,0.0006,0.0007,0.00055,0.00065,0.00024,0.001,0.00095,0.00016,0.00105,0.00026
EURJPY_Ticks_2008.04.01_2008.04.30.csv,EURJPY,EUR/JPY,2008,April,0.02149353820616316,0.010804346899003336,0.005,0.24,0.04,8,6349630,0.02,0.015,0.025,0.01,0.03,0.04,0.005,0.035,0.05,0.06,0.045,0.07,0.08,0.055,0.09,0.065,0.075,0.1,0.155,0.085
EURUSD_Ticks_2008.04.01_2008.04.30.csv,EURUSD,EUR/USD,2008,April,0.00011699241190393955,6.508428337106339e-05,4e-05,0.0007,0.0003,20,2524744,0.0001,5e-05,0.00015,0.0002,4e-05,0.00025,0.00016,6e-05,0.00014,0.0003,0.00024,0.00026,0.00035,0.0004,0.00036,0.00034,0.00045,0.0005,0.00044,0.00046
GBPAUD_Ticks_2008.04.01_2008.04.30.csv,GBPAUD,GBP/AUD,2008,April,0.0005191092136594919,0.00013292143587166036,0.00035,0.00296,0.0009,20,555599,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00054,0.00044,0.00046,0.00075,0.0007,0.0008,0.00076,0.00064,0.00066,0.00074,0.00065,0.0009,0.00096,0.00094
GBPJPY_Ticks_2008.04.01_2008.04.30.csv,GBPJPY,GBP/JPY,2008,April,0.046291843961021505,0.017837579920126877,0.004,0.305,0.07,20,6149848,0.04,0.05,0.03,0.045,0.035,0.055,0.06,0.065,0.025,0.07,0.02,0.08,0.09,0.075,0.015,0.1,0.01,0.085,0.095,0.005
GBPUSD_Ticks_2008.04.01_2008.04.30.csv,GBPUSD,GBP/USD,2008,April,0.00022955011562132704,0.00010390961540881725,4e-05,0.0028,0.0004,20,6796324,0.0002,0.00015,0.00025,0.0003,0.0001,0.0004,0.0005,5e-05,0.00035,0.00045,0.0006,0.0007,0.00024,0.00055,0.00026,0.00016,0.00044,0.00065,0.00014,0.00036
USDJPY_Ticks_2008.04.01_2008.04.30.csv,USDJPY,USD/JPY,2008,April,0.013329230526713337,0.006228900529019112,0.005,0.155,0.03,6,5239909,0.01,0.015,0.02,0.005,0.03,0.025,0.04,0.05,0.035,0.06,0.055,0.045,0.07,0.08,0.065,0.09,0.1,0.12,0.11,0.075
AUDJPY_Ticks_2008.08.01_2008.08.31.csv,AUDJPY,AUD/JPY,2008,August,0.019274190104175207,0.007874913459451025,0.004,0.14,0.06,20,1521955,0.02,0.01,0.015,0.025,0.03,0.005,0.035,0.04,0.05,0.045,0.055,0.06,0.07,0.08,0.065,0.075,0.09,0.1,0.085,0.016
AUDUSD_Ticks_2008.08.01_2008.08.31.csv,AUDUSD,AUD/USD,2008,August,0.00019042280106745842,5.291332921000285e-05,-0.00013,0.00106,0.00045,20,722089,0.00016,0.00021,0.00023,0.00022,0.0002,0.00024,0.00019,0.00025,0.00018,0.00015,0.00026,0.00017,0.00014,0.00013,0.00012,0.00011,0.0001,9e-05,8e-05,6e-05
EURAUD_Ticks_2008.08.01_2008.08.31.csv,EURAUD,EUR/AUD,2008,August,0.000375545813574757,0.00015589692207899856,5e-05,0.003,0.0009,18,1950208,0.0004,0.0003,0.0005,0.00035,0.00025,0.00045,0.0002,0.00055,0.0006,0.00015,0.0001,0.0007,5e-05,0.0008,0.00065,0.0009,0.00075,0.00085,0.001,0.0011
EURGBP_Ticks_2008.08.01_2008.08.31.csv,EURGBP,EUR/GBP,2008,August,0.0001243325157094432,4.8761775795009854e-05,4e-05,0.00155,0.00027,11,1391838,0.0001,0.00015,5e-05,0.0002,0.00025,0.0003,0.00035,0.0004,0.00045,0.0005,0.00016,0.00014,0.0006,0.00055,6e-05,4e-05,0.00065,0.0008,0.0007,0.00145
EURJPY_Ticks_2008.08.01_2008.08.31.csv,EURJPY,EUR/JPY,2008,August,0.017498972579205716,0.007033688351923411,0.005,0.3,0.04,8,2226449,0.02,0.015,0.01,0.025,0.005,0.03,0.035,0.04,0.05,0.045,0.06,0.07,0.055,0.08,0.065,0.09,0.075,0.1,0.11,0.085
EURUSD_Ticks_2008.08.01_2008.08.31.csv,EURUSD,EUR/USD,2008,August,0.00011692817712944436,6.489983247977883e-05,4e-05,0.0007,0.0003,20,2416041,0.0001,5e-05,0.00015,0.0002,0.00025,4e-05,0.0003,0.00016,6e-05,0.00014,0.00024,0.00035,0.00026,0.0004,0.00045,0.00036,0.0005,0.00034,0.00044,0.0006
GBPAUD_Ticks_2008.08.01_2008.08.31.csv,GBPAUD,GBP/AUD,2008,August,0.0005211522764417462,0.0001347213733734771,0.00035,0.00296,0.0009,20,535375,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00054,0.00044,0.00075,0.0007,0.00046,0.0008,0.00076,0.00065,0.00064,0.0009,0.00066,0.00074,0.00096,0.00095
GBPJPY_Ticks_2008.08.01_2008.08.31.csv,GBPJPY,GBP/JPY,2008,August,0.03938924070575151,0.013264234473856796,0.004,0.335,0.07,20,1809022,0.04,0.045,0.03,0.05,0.035,0.055,0.025,0.02,0.06,0.01,0.015,0.065,0.005,0.07,0.075,0.08,0.085,0.09,0.1,0.095
GBPUSD_Ticks_2008.08.01_2008.08.31.csv,GBPUSD,GBP/USD,2008,August,0.00016116931010830632,7.599619491642218e-05,4e-05,0.00195,0.0004,20,1417092,0.00015,0.0002,0.0001,5e-05,0.00025,0.0003,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00016,0.0008,0.00075,0.00014,0.00024,0.0009
USDJPY_Ticks_2008.08.01_2008.08.31.csv,USDJPY,USD/JPY,2008,August,0.009763060023234451,0.004022677864962193,0.005,0.205,0.03,6,1496054,0.01,0.005,0.015,0.02,0.025,0.03,0.04,0.035,0.05,0.045,0.06,0.055,0.07,0.065,0.08,0.075,0.09,0.085,0.11,0.1
AUDJPY_Ticks_2008.12.01_2008.12.31.csv,AUDJPY,AUD/JPY,2008,December,0.03716061210900974,0.01472838522194355,0.004,0.28,0.06,20,1263043,0.035,0.03,0.04,0.025,0.045,0.02,0.05,0.055,0.015,0.06,0.065,0.01,0.005,0.07,0.075,0.08,0.085,0.09,0.095,0.1
AUDUSD_Ticks_2008.12.01_2008.12.31.csv,AUDUSD,AUD/USD,2008,December,0.0003683009119998904,0.0001487545209041781,5e-05,0.00345,0.00045,9,729715,0.0003,0.00035,0.0004,0.00045,0.00025,0.0002,0.0005,0.00055,0.00015,0.0006,0.0001,0.00065,0.0007,5e-05,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
EURAUD_Ticks_2008.12.01_2008.12.31.csv,EURAUD,EUR/AUD,2008,December,0.0009307924561341136,0.00038915418016246254,5e-05,0.0035,0.0009,18,1519062,0.00095,0.0009,0.00085,0.001,0.0008,0.00105,0.00075,0.0007,0.0012,0.00125,0.00065,0.0011,0.00115,0.0006,0.00055,0.0005,0.00045,0.0004,0.0013,0.00135
EURGBP_Ticks_2008.12.01_2008.12.31.csv,EURGBP,EUR/GBP,2008,December,0.0002643970715295957,0.000146257941679014,4e-05,0.0034,0.00027,12,1635393,0.0002,0.00025,0.00015,0.0003,0.00035,0.0001,0.0004,0.00045,0.0005,5e-05,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00026,0.00024
EURJPY_Ticks_2008.12.01_2008.12.31.csv,EURJPY,EUR/JPY,2008,December,0.035794105733191924,0.01287274691163622,0.005,0.35,0.04,8,1992241,0.03,0.035,0.04,0.025,0.045,0.02,0.05,0.055,0.015,0.06,0.01,0.065,0.07,0.005,0.075,0.08,0.085,0.09,0.095,0.1
EURUSD_Ticks_2008.12.01_2008.12.31.csv,EURUSD,EUR/USD,2008,December,0.0001396136054946227,7.613636840521605e-05,3e-05,0.00159,0.0003,20,1764052,0.0001,0.00015,5e-05,0.0002,0.00025,0.0003,0.00035,0.00016,0.00014,0.0004,0.00024,0.00026,4e-05,6e-05,0.00045,0.0005,0.00055,0.00036,0.00034,0.0006
GBPAUD_Ticks_2008.12.01_2008.12.31.csv,GBPAUD,GBP/AUD,2008,December,0.0005211788027776011,0.00013495896037723134,0.00035,0.00296,0.0009,20,566244,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00054,0.00044,0.00075,0.0007,0.00046,0.0008,0.00076,0.00065,0.00064,0.0009,0.00066,0.00074,0.00096,0.00094
GBPJPY_Ticks_2008.12.01_2008.12.31.csv,GBPJPY,GBP/JPY,2008,December,0.06299436120920471,0.027867474419943142,0.004,0.495,0.07,20,1684049,0.055,0.06,0.05,0.065,0.045,0.07,0.04,0.075,0.035,0.08,0.03,0.085,0.09,0.095,0.025,0.1,0.105,0.02,0.11,0.115
GBPUSD_Ticks_2008.12.01_2008.12.31.csv,GBPUSD,GBP/USD,2008,December,0.0002895206674507624,0.00017717354716143222,4e-05,0.0028,0.0004,20,1389286,0.00025,0.0002,0.0003,0.00015,0.00035,0.0001,5e-05,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
USDJPY_Ticks_2008.12.01_2008.12.31.csv,USDJPY,USD/JPY,2008,December,0.016659814749849625,0.00848046887731017,0.005,0.325,0.03,6,1308393,0.01,0.02,0.015,0.005,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
AUDJPY_Ticks_2008.02.01_2008.02.29.csv,AUDJPY,AUD/JPY,2008,February,0.027408286261025105,0.009194562324515222,0.004,0.145,0.06,20,4300299,0.03,0.02,0.025,0.035,0.04,0.015,0.01,0.045,0.05,0.005,0.06,0.055,0.07,0.09,0.08,0.065,0.075,0.1,0.085,0.11
AUDUSD_Ticks_2008.02.01_2008.02.29.csv,AUDUSD,AUD/USD,2008,February,0.0001976602669117354,5.397293431972872e-05,-0.00029,0.0007,0.00045,20,500540,0.00016,0.00021,0.00023,0.00024,0.00022,0.00026,0.00025,0.0002,0.00019,0.00018,0.00014,0.00015,0.00017,0.00013,0.00011,0.00012,0.0001,9e-05,8e-05,6e-05
EURAUD_Ticks_2008.02.01_2008.02.29.csv,EURAUD,EUR/AUD,2008,February,0.00035724920397304724,0.00013417709426273943,5e-05,0.00245,0.0009,18,2892490,0.0003,0.0004,0.00035,0.0002,0.00045,0.00025,0.0005,0.00055,0.00015,0.0006,0.0001,0.0007,0.00065,5e-05,0.0008,0.00075,0.0009,0.00085,0.0011,0.001
EURGBP_Ticks_2008.02.01_2008.02.29.csv,EURGBP,EUR/GBP,2008,February,0.0001669545513055481,6.825509686999903e-05,5e-05,0.00115,0.00027,10,4078555,0.00015,0.0001,0.0002,0.00025,0.0003,5e-05,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.0007,0.00014,0.00016,0.00026,0.00024,0.00036,0.00065,0.00034
EURJPY_Ticks_2008.02.01_2008.02.29.csv,EURJPY,EUR/JPY,2008,February,0.02037203213626022,0.006663309268281313,0.005,0.21,0.04,8,5817105,0.02,0.025,0.015,0.01,0.03,0.035,0.005,0.04,0.05,0.06,0.07,0.045,0.065,0.055,0.08,0.09,0.075,0.12,0.085,0.1
EURUSD_Ticks_2008.02.01_2008.02.29.csv,EURUSD,EUR/USD,2008,February,0.00011692935369863649,6.505680898749923e-05,4e-05,0.0007,0.0003,20,2406184,0.0001,5e-05,0.00015,0.0002,4e-05,0.00016,0.00025,6e-05,0.00014,0.0003,0.00024,0.00026,0.00035,0.0004,0.00036,0.00034,0.0005,0.00045,0.00044,0.00046
GBPAUD_Ticks_2008.02.01_2008.02.29.csv,GBPAUD,GBP/AUD,2008,February,0.0005186799016249252,0.0001324349538770601,0.00035,0.00296,0.0009,20,529809,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00054,0.00044,0.00046,0.00075,0.0007,0.0008,0.00076,0.00064,0.00066,0.00074,0.00065,0.0009,0.00096,0.00094
GBPJPY_Ticks_2008.02.01_2008.02.29.csv,GBPJPY,GBP/JPY,2008,February,0.042252235924339666,0.01595195069512301,0.005,0.315,0.07,20,4843858,0.04,0.03,0.035,0.05,0.045,0.06,0.055,0.025,0.02,0.07,0.065,0.015,0.08,0.01,0.005,0.09,0.075,0.1,0.085,0.11
GBPUSD_Ticks_2008.02.01_2008.02.29.csv,GBPUSD,GBP/USD,2008,February,0.00022182068803564128,9.236015629922617e-05,4e-05,0.0018,0.0004,20,4513865,0.0002,0.00015,0.00025,0.0003,0.0001,0.0004,0.00035,5e-05,0.00045,0.0005,0.0006,0.00055,0.0007,0.0008,0.00065,0.0009,0.00075,0.00026,0.00024,0.001
USDJPY_Ticks_2008.02.01_2008.02.29.csv,USDJPY,USD/JPY,2008,February,0.011667158770666307,0.004981617638086131,0.005,0.14,0.03,6,4260617,0.01,0.015,0.005,0.02,0.025,0.03,0.04,0.035,0.05,0.045,0.06,0.07,0.055,0.08,0.065,0.11,0.115,0.09,0.085,0.1
AUDJPY_Ticks_2008.01.01_2008.01.31.csv,AUDJPY,AUD/JPY,2008,January,0.03439776521205801,0.010054845451837734,0.005,0.18,0.06,20,5007097,0.03,0.035,0.04,0.025,0.045,0.02,0.05,0.015,0.06,0.055,0.01,0.005,0.07,0.065,0.08,0.09,0.1,0.075,0.11,0.085
AUDUSD_Ticks_2008.01.01_2008.01.31.csv,AUDUSD,AUD/USD,2008,January,0.00020706567008268081,5.7037890781590624e-05,-0.00029,0.0007,0.00045,20,585868,0.00021,0.00026,0.00024,0.00023,0.00016,0.00025,0.00022,0.00019,0.0002,0.00018,0.00017,0.00014,0.00015,0.00011,0.00013,0.00012,0.00031,9e-05,0.0001,0.00036
EURAUD_Ticks_2008.01.01_2008.01.31.csv,EURAUD,EUR/AUD,2008,January,0.0005310672901597156,0.0001655282436192652,5e-05,0.0032,0.0009,18,4701683,0.0005,0.00045,0.00055,0.0004,0.0006,0.0007,0.00065,0.00035,0.0003,0.0008,0.00075,0.0009,0.00025,0.0002,0.00085,0.001,0.0011,0.0012,0.00015,0.00095
EURGBP_Ticks_2008.01.01_2008.01.31.csv,EURGBP,EUR/GBP,2008,January,0.00018321674076075622,8.988657835464346e-05,4e-05,0.00115,0.00027,11,5321837,0.00015,0.0002,0.0001,0.00025,0.0003,5e-05,0.00035,0.0004,0.0005,0.00045,0.00055,0.0006,0.00065,0.0007,0.00026,0.00024,0.0008,0.00085,0.00036,0.00075
EURJPY_Ticks_2008.01.01_2008.01.31.csv,EURJPY,EUR/JPY,2008,January,0.02316250895752705,0.009766976637429599,0.005,0.24,0.04,8,6823870,0.02,0.025,0.03,0.015,0.01,0.035,0.04,0.005,0.05,0.045,0.06,0.055,0.07,0.08,0.065,0.09,0.075,0.1,0.12,0.11
EURUSD_Ticks_2008.01.01_2008.01.31.csv,EURUSD,EUR/USD,2008,January,0.00011696394334533571,6.512354289873963e-05,4e-05,0.0007,0.0003,20,2638653,0.0001,5e-05,0.00015,0.0002,4e-05,0.00016,6e-05,0.00025,0.00014,0.0003,0.00024,0.00026,0.00035,0.0004,0.00036,0.00034,0.0005,0.00045,0.00044,0.00046
GBPAUD_Ticks_2008.01.01_2008.01.31.csv,GBPAUD,GBP/AUD,2008,January,0.000518847329724774,0.00013235954660813343,0.00035,0.00296,0.0009,20,567170,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00054,0.00044,0.00046,0.00075,0.0007,0.0008,0.00076,0.00064,0.00066,0.00074,0.00065,0.0009,0.00096,0.00094
GBPJPY_Ticks_2008.01.01_2008.01.31.csv,GBPJPY,GBP/JPY,2008,January,0.055443600949733746,0.019365782648087453,0.005,0.32,0.07,20,5921660,0.05,0.06,0.055,0.045,0.04,0.07,0.065,0.035,0.03,0.08,0.075,0.09,0.025,0.02,0.1,0.085,0.11,0.095,0.015,0.01
GBPUSD_Ticks_2008.01.01_2008.01.31.csv,GBPUSD,GBP/USD,2008,January,0.00023334512719978687,0.00010516338158477358,4e-05,0.00285,0.0004,20,3080980,0.0002,0.00025,0.00015,0.0003,0.0001,0.00035,0.0004,5e-05,0.0005,0.00045,0.0006,0.00055,0.0007,0.00065,0.0008,0.0009,0.00075,0.001,0.0011,0.00044
USDJPY_Ticks_2008.01.01_2008.01.31.csv,USDJPY,USD/JPY,2008,January,0.015093294838195973,0.00716780344458902,0.005,0.16,0.03,6,5930446,0.01,0.015,0.02,0.005,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.08,0.09,0.14,0.075,0.1,0.11
AUDJPY_Ticks_2008.07.01_2008.07.31.csv,AUDJPY,AUD/JPY,2008,July,0.0199670204583163,0.007562973441654183,0.004,0.15,0.06,20,1647203,0.02,0.015,0.025,0.01,0.03,0.005,0.035,0.04,0.045,0.05,0.06,0.055,0.07,0.08,0.065,0.09,0.075,0.1,0.085,0.11
AUDUSD_Ticks_2008.07.01_2008.07.31.csv,AUDUSD,AUD/USD,2008,July,0.00018539726027397264,5.149182111527811e-05,-0.00013,0.00104,0.00045,20,591665,0.00016,0.00022,0.00021,0.0002,0.00019,0.00023,0.00024,0.00018,0.00015,0.00017,0.00014,0.00025,0.00013,0.00026,0.00012,0.00011,0.0001,9e-05,8e-05,7e-05
EURAUD_Ticks_2008.07.01_2008.07.31.csv,EURAUD,EUR/AUD,2008,July,0.00034723725699304313,0.00012999619255594355,5e-05,0.003,0.0009,18,1644706,0.0003,0.0004,0.00025,0.00035,0.0002,0.0005,0.00045,0.00015,0.0001,0.0006,0.00055,5e-05,0.0007,0.00065,0.0008,0.0009,0.00075,0.001,0.00085,0.0011
EURGBP_Ticks_2008.07.01_2008.07.31.csv,EURGBP,EUR/GBP,2008,July,0.0001279416377436211,5.511464587876184e-05,4e-05,0.00105,0.00027,12,1310950,0.0001,0.00015,0.0002,5e-05,0.00025,0.0003,0.00035,0.0004,0.00045,0.0005,0.00014,0.00016,0.00024,0.0006,0.00026,0.00055,0.0007,4e-05,6e-05,0.0008
EURJPY_Ticks_2008.07.01_2008.07.31.csv,EURJPY,EUR/JPY,2008,July,0.018267988767909242,0.006982669753596749,0.005,0.3,0.04,8,2206891,0.02,0.015,0.025,0.01,0.005,0.03,0.035,0.04,0.05,0.045,0.06,0.055,0.07,0.065,0.08,0.09,0.075,0.1,0.11,0.085
EURUSD_Ticks_2008.07.01_2008.07.31.csv,EURUSD,EUR/USD,2008,July,0.00011698618929588094,6.497707011220403e-05,4e-05,0.0007,0.0003,20,2641357,0.0001,5e-05,0.00015,0.0002,0.00025,4e-05,0.00016,0.0003,6e-05,0.00014,0.00024,0.00026,0.00035,0.0004,0.00036,0.00034,0.00045,0.0005,0.00044,0.00046
GBPAUD_Ticks_2008.07.01_2008.07.31.csv,GBPAUD,GBP/AUD,2008,July,0.0005209554274981859,0.00013453454409177582,0.00035,0.00296,0.0009,20,585675,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00054,0.00044,0.00075,0.0007,0.00046,0.0008,0.00076,0.00064,0.00065,0.00066,0.0009,0.00074,0.00096,0.00094
GBPJPY_Ticks_2008.07.01_2008.07.31.csv,GBPJPY,GBP/JPY,2008,July,0.03487141047114308,0.01352028668745054,0.005,0.42,0.07,20,1730833,0.03,0.04,0.035,0.045,0.025,0.02,0.05,0.015,0.055,0.01,0.06,0.005,0.065,0.07,0.075,0.08,0.09,0.085,0.1,0.095
GBPUSD_Ticks_2008.07.01_2008.07.31.csv,GBPUSD,GBP/USD,2008,July,0.00017190076871166098,7.762376858240765e-05,4e-05,0.0021,0.0004,20,1515913,0.0002,0.00015,0.0001,0.00025,5e-05,0.0003,0.00035,0.0004,0.00045,0.0005,0.0006,0.00055,0.00065,0.0007,0.00024,0.00075,0.0008,0.00026,0.00016,0.0009
USDJPY_Ticks_2008.07.01_2008.07.31.csv,USDJPY,USD/JPY,2008,July,0.010048466654268834,0.0039871122127315035,0.005,0.19,0.03,6,1693845,0.01,0.005,0.015,0.02,0.025,0.03,0.04,0.035,0.045,0.05,0.06,0.07,0.055,0.065,0.075,0.08,0.085,0.1,0.19,0.11
