Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
AUDJPY_Ticks_2014.04.01_2014.04.30.csv,AUDJPY,AUD/JPY,2014,April,0.009259460707094944,0.003715102155758445,0.001,0.206,0.06,20,1533712,0.01,0.009,0.008,0.011,0.007,0.006,0.012,0.005,0.004,0.013,0.014,0.017,0.016,0.015,0.018,0.022,0.02,0.019,0.021,0.023
AUDUSD_Ticks_2014.04.01_2014.04.30.csv,AUDUSD,AUD/USD,2014,April,7.624096349757936e-05,2.9202543112607746e-05,1e-05,0.00127,0.00045,20,1010070,8e-05,7e-05,6e-05,9e-05,5e-05,0.0001,4e-05,0.00011,0.00012,0.00016,0.00014,0.00013,0.00015,0.00018,0.00017,0.00022,0.0002,0.00019,0.00026,0.00021
EURAUD_Ticks_2014.04.01_2014.04.30.csv,EURAUD,EUR/AUD,2014,April,0.0001377799777090536,5.226844458018641e-05,1e-05,0.00191,0.0009,20,1577322,0.00014,0.00013,0.00016,0.00012,0.00015,0.00011,0.0001,9e-05,8e-05,0.00017,0.00018,7e-05,0.00019,0.0002,6e-05,0.00021,5e-05,0.00022,4e-05,0.00023
EURGBP_Ticks_2014.04.01_2014.04.30.csv,EURGBP,EUR/GBP,2014,April,7.460281415953873e-05,2.9145477851100838e-05,1e-05,0.00158,0.00027,20,860932,7e-05,8e-05,6e-05,5e-05,9e-05,4e-05,0.0001,0.00011,0.00012,0.00014,0.00013,0.00015,0.00016,0.00017,0.00018,0.0002,0.00019,0.00021,0.00022,0.00023
EURJPY_Ticks_2014.04.01_2014.04.30.csv,EURJPY,EUR/JPY,2014,April,0.006261001572343721,0.003200701049157157,0.001,0.262,0.04,20,1603339,0.006,0.007,0.008,0.005,0.004,0.003,0.009,0.002,0.01,0.001,0.011,0.014,0.012,0.013,0.016,0.015,0.018,0.017,0.019,0.024
EURUSD_Ticks_2014.04.01_2014.04.30.csv,EURUSD,EUR/USD,2014,April,2.3802077071954552e-05,1.513125623279923e-05,1e-05,0.00118,0.0003,20,923319,2e-05,3e-05,1e-05,4e-05,5e-05,6e-05,7e-05,8e-05,9e-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00015,0.00016,0.00017,0.00019,0.00018,0.00022
GBPAUD_Ticks_2014.04.01_2014.04.30.csv,GBPAUD,GBP/AUD,2014,April,0.00017969164664446025,0.00010916025317379784,1e-05,0.00453,0.0009,20,1465040,0.00017,0.00015,0.00019,0.00016,0.00014,0.00018,0.00013,0.00022,0.00012,0.0002,0.00011,0.00021,0.0001,0.00023,9e-05,8e-05,7e-05,0.00024,6e-05,0.00025
GBPJPY_Ticks_2014.04.01_2014.04.30.csv,GBPJPY,GBP/JPY,2014,April,0.013250380697776731,0.007176974201090008,0.001,0.491,0.07,20,1891264,0.015,0.014,0.013,0.012,0.011,0.01,0.009,0.008,0.016,0.007,0.017,0.018,0.006,0.019,0.02,0.005,0.022,0.004,0.021,0.023
GBPUSD_Ticks_2014.04.01_2014.04.30.csv,GBPUSD,GBP/USD,2014,April,7.897099541306507e-05,4.7986128516024616e-05,1e-05,0.002,0.0004,20,913028,8e-05,7e-05,6e-05,5e-05,9e-05,0.0001,4e-05,0.00011,3e-05,0.00012,0.00013,2e-05,0.00014,0.00016,0.00015,0.00018,0.0002,0.00017,0.00019,1e-05
USDJPY_Ticks_2014.04.01_2014.04.30.csv,USDJPY,USD/JPY,2014,April,0.002780482506728182,0.0019522567233850787,0.001,0.12,0.03,20,1040400,0.003,0.002,0.004,0.001,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.016,0.014,0.015,0.018,0.017,0.02,0.019
