Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
AUDJPY_Ticks_2015.04.01_2015.04.30.csv,AUDJPY,AUD/JPY,2015,April,0.01402598806560482,0.005491227204298914,0.001,0.35,0.06,20,2124783,0.014,0.012,0.013,0.015,0.011,0.016,0.01,0.017,0.009,0.008,0.018,0.019,0.007,0.02,0.021,0.006,0.022,0.023,0.024,0.025
AUDUSD_Ticks_2015.04.01_2015.04.30.csv,AUDUSD,AUD/USD,2015,April,0.00011008630706929155,4.1284375752943164e-05,1e-05,0.00302,0.00045,20,1838204,0.0001,0.00011,0.00012,9e-05,0.00013,8e-05,7e-05,0.00014,6e-05,0.00015,5e-05,0.00016,4e-05,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023
EURAUD_Ticks_2015.04.01_2015.04.30.csv,EURAUD,EUR/AUD,2015,April,0.00020345207032117774,9.882746085815819e-05,1e-05,0.0035,0.0009,20,2777371,0.00018,0.00016,0.00017,0.00021,0.0002,0.00019,0.00015,0.00023,0.00024,0.00022,0.00014,0.00025,0.00026,0.00013,0.00027,0.00012,0.00011,0.00028,0.0001,0.00029
EURGBP_Ticks_2015.04.01_2015.04.30.csv,EURGBP,EUR/GBP,2015,April,9.939223666511453e-05,4.941265259712781e-05,1e-05,0.00243,0.00027,20,1853353,0.0001,9e-05,8e-05,0.00011,7e-05,0.00012,6e-05,5e-05,4e-05,0.00013,0.00014,0.00015,0.00016,0.00017,0.00018,0.0002,0.00026,0.00019,0.00024,0.00025
EURJPY_Ticks_2015.04.01_2015.04.30.csv,EURJPY,EUR/JPY,2015,April,0.008393160892117503,0.005419597732619791,0.001,0.336,0.04,20,2755915,0.008,0.009,0.007,0.01,0.006,0.005,0.011,0.004,0.003,0.012,0.002,0.013,0.014,0.001,0.016,0.015,0.017,0.018,0.019,0.021
EURUSD_Ticks_2015.04.01_2015.04.30.csv,EURUSD,EUR/USD,2015,April,3.0037930402284364e-05,2.283693161789234e-05,1e-05,0.00254,0.0003,20,2296311,2e-05,3e-05,4e-05,1e-05,5e-05,6e-05,7e-05,8e-05,9e-05,0.0001,0.00012,0.00011,0.00013,0.00014,0.00016,0.00015,0.00017,0.00018,0.0002,0.00019
GBPAUD_Ticks_2015.04.01_2015.04.30.csv,GBPAUD,GBP/AUD,2015,April,0.0003476260954362665,0.0001894311674742926,4e-05,0.005,0.0009,20,2146291,0.00021,0.00024,0.00019,0.00035,0.00034,0.00033,0.00032,0.00036,0.0003,0.00037,0.00027,0.00022,0.00038,0.00039,0.00031,0.00028,0.00026,0.00025,0.00029,0.0004
GBPJPY_Ticks_2015.04.01_2015.04.30.csv,GBPJPY,GBP/JPY,2015,April,0.01848815843859653,0.009277329413063135,0.001,0.496,0.07,20,2729032,0.017,0.019,0.016,0.018,0.015,0.02,0.014,0.021,0.013,0.022,0.012,0.023,0.011,0.01,0.024,0.009,0.025,0.008,0.007,0.026
GBPUSD_Ticks_2015.04.01_2015.04.30.csv,GBPUSD,GBP/USD,2015,April,0.00010491406571044947,6.282199197606618e-05,1e-05,0.00344,0.0004,20,2275285,0.0001,9e-05,0.00011,0.00012,8e-05,7e-05,6e-05,5e-05,0.00013,4e-05,0.00014,3e-05,0.00015,0.00016,0.00017,0.00019,0.00018,2e-05,0.00021,0.0002
USDJPY_Ticks_2015.04.01_2015.04.30.csv,USDJPY,USD/JPY,2015,April,0.003960538229044308,0.003062418314169957,0.001,0.325,0.03,20,1515340,0.004,0.003,0.005,0.002,0.001,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.016,0.015,0.017,0.018,0.024,0.02
AUDJPY_Ticks_2015.08.01_2015.08.31.csv,AUDJPY,AUD/JPY,2015,August,0.014379632718016126,0.006451934092133456,0.001,0.347,0.06,20,2410464,0.012,0.013,0.014,0.011,0.015,0.01,0.016,0.009,0.017,0.018,0.008,0.019,0.02,0.021,0.007,0.022,0.023,0.024,0.006,0.025
AUDUSD_Ticks_2015.08.01_2015.08.31.csv,AUDUSD,AUD/USD,2015,August,0.00011840254259266517,4.951630274947316e-05,1e-05,0.00237,0.00045,20,1580906,0.00011,0.0001,0.00012,0.00013,9e-05,8e-05,0.00014,7e-05,0.00015,6e-05,0.00016,0.00017,5e-05,0.00018,0.00019,4e-05,0.0002,0.00021,0.00022,0.00023
EURAUD_Ticks_2015.08.01_2015.08.31.csv,EURAUD,EUR/AUD,2015,August,0.00023430959239764836,0.00012261938876965796,1e-05,0.00349,0.0009,20,2904154,0.0002,0.00022,0.00019,0.00018,0.00021,0.00023,0.00025,0.00017,0.00024,0.00016,0.00026,0.00027,0.00015,0.00028,0.00014,0.00029,0.00013,0.0003,0.00012,0.00031
EURGBP_Ticks_2015.08.01_2015.08.31.csv,EURGBP,EUR/GBP,2015,August,8.565194065739629e-05,4.268691219229794e-05,1e-05,0.00188,0.00027,20,1763320,8e-05,9e-05,7e-05,6e-05,0.0001,5e-05,4e-05,0.00011,0.00012,0.00013,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023
EURJPY_Ticks_2015.08.01_2015.08.31.csv,EURJPY,EUR/JPY,2015,August,0.009172009403456947,0.005840483227372046,0.001,0.305,0.04,20,2886598,0.009,0.008,0.007,0.01,0.006,0.005,0.011,0.004,0.012,0.003,0.013,0.002,0.014,0.015,0.016,0.017,0.018,0.001,0.019,0.02
EURUSD_Ticks_2015.08.01_2015.08.31.csv,EURUSD,EUR/USD,2015,August,3.2925204409705275e-05,2.939854057594829e-05,1e-05,0.00216,0.0003,20,1955142,2e-05,3e-05,4e-05,1e-05,5e-05,6e-05,7e-05,8e-05,9e-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002
GBPAUD_Ticks_2015.08.01_2015.08.31.csv,GBPAUD,GBP/AUD,2015,August,0.00045970204723726795,0.0002635053376981747,1e-05,0.005,0.0009,20,2399038,0.00025,0.00027,0.00034,0.00036,0.00033,0.00032,0.00046,0.00045,0.00047,0.00044,0.0003,0.00035,0.00031,0.00048,0.00042,0.0004,0.00043,0.00041,0.00049,0.00039
GBPJPY_Ticks_2015.08.01_2015.08.31.csv,GBPJPY,GBP/JPY,2015,August,0.02080379303218879,0.010009339168397507,0.001,0.463,0.07,20,2816322,0.017,0.019,0.02,0.021,0.018,0.016,0.022,0.023,0.015,0.014,0.024,0.013,0.025,0.012,0.026,0.011,0.027,0.01,0.028,0.009
GBPUSD_Ticks_2015.08.01_2015.08.31.csv,GBPUSD,GBP/USD,2015,August,9.905186658235947e-05,6.25203616171623e-05,1e-05,0.00208,0.0004,20,1864611,8e-05,0.0001,9e-05,6e-05,7e-05,0.00011,0.00012,5e-05,0.00013,4e-05,0.00014,3e-05,0.00015,0.00016,2e-05,0.00017,0.00018,0.00019,0.0002,0.00021
USDJPY_Ticks_2015.08.01_2015.08.31.csv,USDJPY,USD/JPY,2015,August,0.004738668833005652,0.003633775992204704,0.001,0.19,0.03,20,1573161,0.003,0.004,0.005,0.002,0.006,0.007,0.001,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
AUDJPY_Ticks_2015.12.01_2015.12.31.csv,AUDJPY,AUD/JPY,2015,December,0.014077851366669539,0.008441887298465229,0.001,0.35,0.06,20,2081081,0.013,0.014,0.012,0.015,0.011,0.01,0.016,0.009,0.017,0.018,0.008,0.019,0.007,0.02,0.021,0.022,0.006,0.023,0.024,0.025
AUDUSD_Ticks_2015.12.01_2015.12.31.csv,AUDUSD,AUD/USD,2015,December,0.00010956207346957212,5.060769818123617e-05,1e-05,0.0035,0.00045,20,1593966,0.0001,9e-05,0.00011,0.00012,8e-05,0.00013,7e-05,0.00014,6e-05,0.00015,0.00016,0.00017,0.00018,5e-05,0.00019,0.0002,0.00021,4e-05,0.00022,0.00023
EURAUD_Ticks_2015.12.01_2015.12.31.csv,EURAUD,EUR/AUD,2015,December,0.00024271670853553886,0.00011125917786407728,1e-05,0.0035,0.0009,20,2626454,0.00024,0.00023,0.00025,0.00022,0.00026,0.00021,0.00027,0.0002,0.00019,0.00018,0.00028,0.00017,0.00029,0.00016,0.00015,0.0003,0.00014,0.00031,0.00013,0.00032
EURGBP_Ticks_2015.12.01_2015.12.31.csv,EURGBP,EUR/GBP,2015,December,9.551269658040974e-05,5.034898750912057e-05,1e-05,0.00262,0.00027,20,1694472,9e-05,8e-05,0.0001,7e-05,0.00011,6e-05,0.00012,5e-05,4e-05,0.00013,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023
EURJPY_Ticks_2015.12.01_2015.12.31.csv,EURJPY,EUR/JPY,2015,December,0.00771906573442153,0.005970221737292179,0.001,0.342,0.04,20,2765081,0.006,0.007,0.008,0.005,0.009,0.004,0.01,0.003,0.011,0.002,0.012,0.013,0.001,0.014,0.015,0.016,0.017,0.018,0.019,0.02
EURUSD_Ticks_2015.12.01_2015.12.31.csv,EURUSD,EUR/USD,2015,December,3.070201431041565e-05,3.3239679137933476e-05,1e-05,0.00297,0.0003,20,1955359,2e-05,3e-05,1e-05,4e-05,5e-05,6e-05,7e-05,8e-05,9e-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00015,0.00016,0.00017,0.00018,0.00019,0.0002
GBPAUD_Ticks_2015.12.01_2015.12.31.csv,GBPAUD,GBP/AUD,2015,December,0.00044454826459574474,0.00024054544469566096,4e-05,0.005,0.0009,20,2270422,0.00035,0.00036,0.00037,0.00038,0.00039,0.00034,0.0004,0.00041,0.00033,0.00042,0.00032,0.00044,0.00043,0.00031,0.00045,0.0003,0.00046,0.00029,0.00047,0.00028
GBPJPY_Ticks_2015.12.01_2015.12.31.csv,GBPJPY,GBP/JPY,2015,December,0.01925028122594044,0.013543071252990261,0.001,0.5,0.07,20,2687341,0.018,0.017,0.019,0.016,0.02,0.015,0.021,0.014,0.013,0.022,0.012,0.023,0.011,0.024,0.01,0.025,0.026,0.009,0.027,0.028
GBPUSD_Ticks_2015.12.01_2015.12.31.csv,GBPUSD,GBP/USD,2015,December,0.0001016707907236658,8.235967608239122e-05,1e-05,0.00397,0.0004,20,1789500,9e-05,8e-05,0.0001,7e-05,0.00011,6e-05,0.00012,5e-05,0.00013,4e-05,0.00014,3e-05,0.00015,0.00016,0.00017,2e-05,0.00018,0.00019,0.0002,0.00021
USDJPY_Ticks_2015.12.01_2015.12.31.csv,USDJPY,USD/JPY,2015,December,0.003840490968109438,0.0039911720348369435,0.001,0.246,0.03,20,1618598,0.003,0.002,0.004,0.005,0.001,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.017,0.016,0.018,0.019,0.02
AUDJPY_Ticks_2015.02.01_2015.02.28.csv,AUDJPY,AUD/JPY,2015,February,0.0150309685187908,0.006168010324932848,0.001,0.341,0.06,20,2081178,0.014,0.012,0.013,0.016,0.015,0.017,0.011,0.018,0.01,0.019,0.009,0.02,0.008,0.021,0.007,0.022,0.023,0.024,0.006,0.025
AUDUSD_Ticks_2015.02.01_2015.02.28.csv,AUDUSD,AUD/USD,2015,February,0.00011066303383847227,4.243549845822347e-05,1e-05,0.00338,0.00045,20,1444421,0.00011,0.0001,0.00012,9e-05,0.00013,8e-05,7e-05,0.00014,6e-05,0.00015,0.00016,5e-05,0.00017,0.00018,0.00019,4e-05,0.0002,0.00021,0.00022,0.00024
EURAUD_Ticks_2015.02.01_2015.02.28.csv,EURAUD,EUR/AUD,2015,February,0.00019453989491088336,8.963609434035098e-05,1e-05,0.0035,0.0009,20,2351528,0.00018,0.00016,0.0002,0.00017,0.00015,0.00019,0.00021,0.00014,0.00023,0.00022,0.00013,0.00024,0.00012,0.00025,0.00026,0.00011,0.0001,0.00027,0.00028,9e-05
EURGBP_Ticks_2015.02.01_2015.02.28.csv,EURGBP,EUR/GBP,2015,February,9.88264093896267e-05,4.6905693452212806e-05,1e-05,0.00226,0.00027,20,1596826,0.0001,9e-05,8e-05,7e-05,0.00011,6e-05,0.00012,5e-05,0.00013,4e-05,0.00014,0.00015,0.00016,0.00017,0.00018,0.0002,0.00019,0.00022,0.00021,0.00023
EURJPY_Ticks_2015.02.01_2015.02.28.csv,EURJPY,EUR/JPY,2015,February,0.008962339102726126,0.005728272801025377,0.001,0.35,0.04,20,2599407,0.008,0.009,0.01,0.007,0.006,0.011,0.005,0.004,0.012,0.003,0.013,0.002,0.014,0.015,0.016,0.001,0.017,0.018,0.019,0.02
