Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
AUDJPY_Ticks_2010.04.01_2010.04.30.csv,AUDJPY,AUD/JPY,2010,April,0.02278974640434916,0.006048870028966583,0.005,0.165,0.06,18,1652552,0.025,0.02,0.015,0.03,0.01,0.035,0.04,0.005,0.045,0.05,0.055,0.06,0.075,0.065,0.07,0.08,0.085,0.09,0.095,0.1
AUDUSD_Ticks_2010.04.01_2010.04.30.csv,AUDUSD,AUD/USD,2010,April,0.0001518589370828781,4.2309785599896216e-05,-4e-05,0.00365,0.00045,20,822002,0.00015,0.00018,0.00017,0.00016,0.00014,0.00013,0.00012,0.0001,0.00011,0.00019,0.0002,9e-05,0.00021,0.00022,8e-05,7e-05,6e-05,5e-05,0.00024,4e-05
EURAUD_Ticks_2010.04.01_2010.04.30.csv,EURAUD,EUR/AUD,2010,April,0.00028894042321278915,8.740726010162679e-05,-0.00025,0.0035,0.0009,20,1508272,0.0003,0.00025,0.00035,0.0002,0.0004,0.00015,0.00045,0.0001,0.0005,0.00055,5e-05,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
EURGBP_Ticks_2010.04.01_2010.04.30.csv,EURGBP,EUR/GBP,2010,April,0.00015661428069670903,4.8896234020196255e-05,5e-05,0.0016,0.00027,9,1696892,0.00015,0.0001,0.0002,0.00025,0.0003,5e-05,0.00035,0.0004,0.00045,0.0005,0.00055,0.00065,0.0006,0.0007,0.00016,0.00075,0.0008,0.00014,0.00085,0.0009
EURJPY_Ticks_2010.04.01_2010.04.30.csv,EURJPY,EUR/JPY,2010,April,0.019243499162121435,0.004635354432779219,0.005,0.19,0.04,8,2163798,0.02,0.015,0.025,0.01,0.03,0.005,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
EURUSD_Ticks_2010.04.01_2010.04.30.csv,EURUSD,EUR/USD,2010,April,9.395353465321114e-05,3.085739017506542e-05,1e-05,0.00052,0.0003,20,623088,0.0001,8e-05,0.00012,7e-05,6e-05,9e-05,0.00011,4e-05,0.00014,0.00013,5e-05,0.00016,0.00015,0.00018,0.00026,2e-05,0.0002,0.00017,3e-05,0.00022
GBPAUD_Ticks_2010.04.01_2010.04.30.csv,GBPAUD,GBP/AUD,2010,April,0.0005881919474170343,0.00018714942573092358,0.0004,0.004,0.0009,20,857464,0.0005,0.00045,0.00055,0.0006,0.00065,0.0007,0.00075,0.0004,0.0008,0.00085,0.00105,0.0009,0.0011,0.001,0.00115,0.00095,0.00125,0.0012,0.002,0.0013
GBPJPY_Ticks_2010.04.01_2010.04.30.csv,GBPJPY,GBP/JPY,2010,April,0.030763136213543055,0.008329931548214984,0.005,0.285,0.07,20,1996637,0.03,0.035,0.025,0.02,0.04,0.015,0.045,0.05,0.01,0.055,0.06,0.005,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
GBPUSD_Ticks_2010.04.01_2010.04.30.csv,GBPUSD,GBP/USD,2010,April,0.0001753009263621033,5.486346186144826e-05,4e-05,0.0014,0.0004,17,1698256,0.0002,0.00015,0.0001,0.00025,5e-05,0.0003,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
USDJPY_Ticks_2010.04.01_2010.04.30.csv,USDJPY,USD/JPY,2010,April,0.009796947549951642,0.0036374321690697464,0.005,0.125,0.03,6,1515766,0.01,0.005,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.09,0.085,0.095,0.1
AUDJPY_Ticks_2010.08.01_2010.08.31.csv,AUDJPY,AUD/JPY,2010,August,0.019881860657403137,0.004650841006668821,0.005,0.17,0.06,20,2268897,0.02,0.015,0.025,0.01,0.03,0.005,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.095,0.09,0.014
AUDUSD_Ticks_2010.08.01_2010.08.31.csv,AUDUSD,AUD/USD,2010,August,0.00010168380269199696,3.889372343866537e-05,-4e-05,0.00193,0.00045,20,1268575,0.00011,0.0001,0.00012,9e-05,8e-05,0.00013,7e-05,0.00014,6e-05,0.00015,5e-05,0.00016,4e-05,3e-05,2e-05,1e-05,0.00018,0.00017,0.0,-1e-05
EURAUD_Ticks_2010.08.01_2010.08.31.csv,EURAUD,EUR/AUD,2010,August,0.00027928386334751014,7.13429603816119e-05,5e-05,0.00345,0.0009,18,2004003,0.0003,0.00025,0.00035,0.0002,0.00015,0.0004,0.0001,0.00045,5e-05,0.0005,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
EURGBP_Ticks_2010.08.01_2010.08.31.csv,EURGBP,EUR/GBP,2010,August,0.00013783350564184778,4.997481955701295e-05,4e-05,0.0016,0.00027,11,1691733,0.0001,0.00015,0.0002,5e-05,0.00025,0.0003,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.00016,0.00014,0.0007,0.00075,0.0008,0.00085,0.0009
EURJPY_Ticks_2010.08.01_2010.08.31.csv,EURJPY,EUR/JPY,2010,August,0.016775714319254325,0.004830916922363358,0.005,0.32,0.04,8,1916685,0.015,0.02,0.01,0.025,0.005,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
EURUSD_Ticks_2010.08.01_2010.08.31.csv,EURUSD,EUR/USD,2010,August,9.405935568863801e-05,3.090436026949186e-05,1e-05,0.00052,0.0003,20,628516,0.0001,8e-05,0.00012,9e-05,7e-05,6e-05,0.00011,4e-05,0.00013,0.00014,5e-05,0.00016,0.00015,0.00018,0.00026,0.00017,0.0002,2e-05,3e-05,0.00019
GBPAUD_Ticks_2010.08.01_2010.08.31.csv,GBPAUD,GBP/AUD,2010,August,0.00043195181705496104,0.0001040488618388178,5e-05,0.00385,0.0009,20,2160474,0.00045,0.0004,0.0005,0.00035,0.00055,0.0003,0.0006,0.00025,0.00065,0.0002,0.0007,0.00015,0.00075,0.0001,0.0008,0.00085,5e-05,0.0009,0.00095,0.001
GBPJPY_Ticks_2010.08.01_2010.08.31.csv,GBPJPY,GBP/JPY,2010,August,0.026744717779111114,0.006505373827216032,0.005,0.28,0.07,20,2049990,0.025,0.03,0.02,0.035,0.015,0.04,0.01,0.005,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
GBPUSD_Ticks_2010.08.01_2010.08.31.csv,GBPUSD,GBP/USD,2010,August,0.00017701132055920633,5.480474666615404e-05,4e-05,0.0014,0.0004,20,1621298,0.0002,0.00015,0.0001,0.00025,5e-05,0.0003,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00016,0.00075,0.0008,0.00024,0.00026,0.00014
USDJPY_Ticks_2010.08.01_2010.08.31.csv,USDJPY,USD/JPY,2010,August,0.009505889156261467,0.003452983632769973,0.005,0.31,0.03,6,1373032,0.01,0.005,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.095,0.11,0.1
AUDJPY_Ticks_2010.12.01_2010.12.31.csv,AUDJPY,AUD/JPY,2010,December,0.023193171017570013,0.007431452973971261,0.002,0.195,0.06,20,1232043,0.022,0.021,0.023,0.02,0.024,0.019,0.025,0.026,0.018,0.017,0.027,0.028,0.016,0.029,0.03,0.015,0.031,0.014,0.032,0.033
AUDUSD_Ticks_2010.12.01_2010.12.31.csv,AUDUSD,AUD/USD,2010,December,0.00017775154717886854,4.9458668647124614e-05,1e-05,0.00347,0.00045,20,966598,0.00018,0.00019,0.00017,0.00016,0.0002,0.00015,0.00021,0.00014,0.00022,0.00013,0.00012,0.00023,0.00011,0.00024,0.0001,0.00025,9e-05,0.00026,8e-05,0.00027
EURAUD_Ticks_2010.12.01_2010.12.31.csv,EURAUD,EUR/AUD,2010,December,0.00033424402015984393,8.925893764832882e-05,1e-05,0.00347,0.0009,20,1747831,0.0003,0.00034,0.00035,0.00033,0.00028,0.00032,0.00031,0.00036,0.00029,0.00037,0.00027,0.00038,0.00026,0.00039,0.00025,0.0004,0.00041,0.00024,0.00042,0.00023
EURGBP_Ticks_2010.12.01_2010.12.31.csv,EURGBP,EUR/GBP,2010,December,0.00016843937816068307,5.515001688993016e-05,2e-05,0.00142,0.00027,20,1414449,0.00014,0.00016,0.00015,0.00013,0.0002,0.00018,0.00017,0.00019,0.00012,0.00022,0.00021,0.00011,0.00023,0.00024,0.0001,0.00025,9e-05,0.00026,8e-05,0.00027
EURJPY_Ticks_2010.12.01_2010.12.31.csv,EURJPY,EUR/JPY,2010,December,0.02036176069645795,0.006199833124571766,0.001,0.305,0.04,20,1405512,0.019,0.021,0.02,0.022,0.018,0.017,0.023,0.016,0.024,0.015,0.025,0.014,0.026,0.013,0.027,0.012,0.028,0.011,0.029,0.01
EURUSD_Ticks_2010.12.01_2010.12.31.csv,EURUSD,EUR/USD,2010,December,0.00011075389458390506,3.6315942972569306e-05,1e-05,0.00105,0.0003,20,1387568,0.00011,0.00012,0.0001,9e-05,0.00013,8e-05,0.00014,7e-05,0.00015,6e-05,0.00016,5e-05,4e-05,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023
GBPAUD_Ticks_2010.12.01_2010.12.31.csv,GBPAUD,GBP/AUD,2010,December,0.0005827729109987271,0.00014652036691059544,4e-05,0.00493,0.0009,20,2182598,0.00056,0.00058,0.00055,0.00057,0.00054,0.00053,0.00052,0.00051,0.0005,0.00049,0.00059,0.00048,0.00047,0.0006,0.00062,0.00061,0.00064,0.00063,0.00046,0.00065
GBPJPY_Ticks_2010.12.01_2010.12.31.csv,GBPJPY,GBP/JPY,2010,December,0.0290076264605444,0.010243559496957948,0.002,0.276,0.07,20,1444838,0.026,0.028,0.025,0.024,0.027,0.023,0.032,0.031,0.033,0.036,0.03,0.034,0.029,0.022,0.035,0.021,0.038,0.02,0.019,0.037
GBPUSD_Ticks_2010.12.01_2010.12.31.csv,GBPUSD,GBP/USD,2010,December,0.00021588829674564622,6.858158669002906e-05,2e-05,0.00174,0.0004,20,1241629,0.00021,0.0002,0.00022,0.00019,0.00023,0.00018,0.00024,0.00017,0.00025,0.00026,0.00016,0.00027,0.00028,0.00015,0.00014,0.00013,0.00029,0.0003,0.00012,0.00011
USDJPY_Ticks_2010.12.01_2010.12.31.csv,USDJPY,USD/JPY,2010,December,0.012839750679143596,0.0042826002642812,0.001,0.255,0.03,20,735117,0.013,0.012,0.014,0.011,0.01,0.015,0.016,0.009,0.008,0.017,0.007,0.018,0.006,0.019,0.02,0.005,0.021,0.022,0.004,0.024
AUDJPY_Ticks_2010.02.01_2010.02.28.csv,AUDJPY,AUD/JPY,2010,February,0.022494737641530933,0.005496549991193647,0.004,0.155,0.06,19,1514245,0.025,0.02,0.015,0.03,0.01,0.035,0.005,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.09,0.085,0.095,0.1
AUDUSD_Ticks_2010.02.01_2010.02.28.csv,AUDUSD,AUD/USD,2010,February,0.0001597055698137596,5.110377546618217e-05,-4e-05,0.00507,0.00045,20,965526,0.00018,0.00015,0.00017,0.00016,0.00014,0.00013,0.0001,0.00012,0.00011,0.00022,0.0002,0.00019,0.00021,9e-05,8e-05,5e-05,7e-05,0.00024,0.00026,6e-05
EURAUD_Ticks_2010.02.01_2010.02.28.csv,EURAUD,EUR/AUD,2010,February,0.00029187932162512355,8.841489984721711e-05,5e-05,0.00325,0.0009,18,1559020,0.0003,0.00025,0.00035,0.0002,0.0004,0.00015,0.00045,0.0001,0.0005,5e-05,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
EURGBP_Ticks_2010.02.01_2010.02.28.csv,EURGBP,EUR/GBP,2010,February,0.00016187551810697601,4.613673816413083e-05,5e-05,0.00105,0.00027,9,1629731,0.00015,0.0002,0.0001,0.00025,5e-05,0.0003,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.00026,0.0007,0.0009,0.00016,0.00024,0.00014,0.00075
EURJPY_Ticks_2010.02.01_2010.02.28.csv,EURJPY,EUR/JPY,2010,February,0.019348414844235336,0.004734013421824012,0.005,0.23,0.04,8,1759417,0.02,0.015,0.025,0.01,0.03,0.005,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.095,0.09,0.1
EURUSD_Ticks_2010.02.01_2010.02.28.csv,EURUSD,EUR/USD,2010,February,9.410079421620625e-05,3.100465097194062e-05,1e-05,0.00052,0.0003,20,568485,0.0001,8e-05,0.00012,6e-05,7e-05,9e-05,4e-05,0.00011,0.00014,0.00013,5e-05,0.00016,0.00015,0.00018,0.00026,0.0002,2e-05,0.00017,3e-05,0.00022
GBPAUD_Ticks_2010.02.01_2010.02.28.csv,GBPAUD,GBP/AUD,2010,February,0.0005423752529918059,0.0001724983500776963,0.00035,0.00385,0.0009,20,668994,0.00055,0.0005,0.00045,0.0004,0.0006,0.00065,0.00075,0.0007,0.0008,0.0009,0.00085,0.00095,0.001,0.00105,0.00155,0.0013,0.0011,0.00125,0.00035,0.0012
GBPJPY_Ticks_2010.02.01_2010.02.28.csv,GBPJPY,GBP/JPY,2010,February,0.032227015060193785,0.007948559007238232,0.005,0.405,0.07,20,1723683,0.03,0.035,0.025,0.04,0.02,0.045,0.015,0.05,0.01,0.055,0.06,0.065,0.005,0.07,0.075,0.08,0.085,0.09,0.095,0.1
GBPUSD_Ticks_2010.02.01_2010.02.28.csv,GBPUSD,GBP/USD,2010,February,0.00017387312744601574,5.7126594765964806e-05,4e-05,0.00135,0.0004,17,1490945,0.00015,0.0002,0.0001,0.00025,5e-05,0.0003,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
USDJPY_Ticks_2010.02.01_2010.02.28.csv,USDJPY,USD/JPY,2010,February,0.009744713458441672,0.0036805900631438843,0.0,0.16,0.03,7,1208446,0.01,0.005,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.1,0.095
